Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
Norway,-10,1,2005,0
Poland,-10,1,2005,0
Portugal,-10,1,2005,0
Romania,5.5549999999999997,1,2005,5.555
Slovakia,17.727,1,2005,17.727
Slovenia,5.8840000000000003,1,2005,5.884
Spain,57.539000000000001,1,2005,57.539
Sweden,72.691000000000003,1,2005,72.691
Switzerland,23.178947369999999,1,2005,23.17894737
Turkey,-10,1,2005,0
Ukraine,88.756,1,2005,88.756
United Kingdom,81.618102840000006,1,2005,81.61810284
Azerbaijan,-10,1,2005,0
Belarus,-10,1,2005,0
Kazakhstan,-10,1,2005,0
Russian Federation,149.446,1,2005,149.446
Turkmenistan,-10,1,2005,0
USSR,,1,2005,
Uzbekistan,-10,1,2005,0
Iran,-10,1,2005,0
Iraq,-10,1,2005,0
Israel,-10,1,2005,0
Kuwait,-10,1,2005,0
Oman,-10,1,2005,0
Qatar,-10,1,2005,0
Saudi Arabia,-10,1,2005,0
United Arab Emirates,-10,1,2005,0
Algeria,-10,1,2005,0
Egypt,-10,1,2005,0
Morocco,-10,1,2005,0
South Africa,11.29265416,1,2005,11.29265416
Eastern Africa,-10,1,2005,0
Australia,-10,1,2005,0
Bangladesh,-10,1,2005,0
China,53.088000000000001,1,2005,53.088
Hong Kong SAR,-10,1,2005,0
India,17.8234402,1,2005,17.8234402
Indonesia,-10,1,2005,0
Japan,293.038184,1,2005,293.038184
Malaysia,-10,1,2005,0
New Zealand,-10,1,2005,0
Pakistan,2.6269999999999998,1,2005,2.627
Philippines,-10,1,2005,0
Singapore,-10,1,2005,0
South Korea,146.779023,1,2005,146.779023
Sri Lanka,-10,1,2005,0
Taiwan,39.972008000000002,1,2005,39.972008
Thailand,-10,1,2005,0
Vietnam,-10,1,2005,0
Canada,97.283157900000006,1,2006,97.2831579
Mexico,10.866241090000001,1,2006,10.86624109
US,828.65119579999998,1,2006,828.6511958
Argentina,7.7210000000000001,1,2006,7.721
Brazil,13.754099999999999,1,2006,13.7541
Chile,-10,1,2006,0
Colombia,-10,1,2006,0
Ecuador,-10,1,2006,0
Peru,-10,1,2006,0
Trinidad and Tobago,-10,1,2006,0
Venezuela,-10,1,2006,0
Austria,-10,1,2006,0
Belgium,46.645000000000003,1,2006,46.645
Bulgaria,19.492999999999999,1,2006,19.493
Croatia,,1,2006,
Cyprus,-10,1,2006,0
Czech Republic,26.046500000000002,1,2006,26.0465
Denmark,-10,1,2006,0
Estonia,-10,1,2006,0
Finland,23.161684210000001,1,2006,23.16168421
France,450.19099999999997,1,2006,450.191
Germany,167.35599999999999,1,2006,167.356
Greece,-10,1,2006,0
Hungary,13.461,1,2006,13.461
Iceland,-10,1,2006,0
Ireland,-10,1,2006,0
Italy,-10,1,2006,0
Latvia,-10,1,2006,0
Lithuania,8.6511999999999993,1,2006,8.6512
Luxembourg,-10,1,2006,0
Netherlands,3.4694389999999999,1,2006,3.469439
North Macedonia,,1,2006,
Norway,-10,1,2006,0
Poland,-10,1,2006,0
Portugal,-10,1,2006,0
Romania,5.6319999999999997,1,2006,5.632
Slovakia,18.012,1,2006,18.012
Slovenia,5.548,1,2006,5.548
Spain,60.125999999999998,1,2006,60.126
Sweden,66.977000000000004,1,2006,66.977
Switzerland,27.625263159999999,1,2006,27.62526316
Turkey,-10,1,2006,0
Ukraine,90.224999999999994,1,2006,90.225
United Kingdom,75.450656929999994,1,2006,75.45065693
Azerbaijan,-10,1,2006,0
Belarus,-10,1,2006,0
Kazakhstan,-10,1,2006,0
Russian Federation,156.43600000000001,1,2006,156.436
Turkmenistan,-10,1,2006,0
USSR,,1,2006,
Uzbekistan,-10,1,2006,0
Iran,-10,1,2006,0
Iraq,-10,1,2006,0
Israel,-10,1,2006,0
Kuwait,-10,1,2006,0
Oman,-10,1,2006,0
Qatar,-10,1,2006,0
Saudi Arabia,-10,1,2006,0
United Arab Emirates,-10,1,2006,0
Algeria,-10,1,2006,0
Egypt,-10,1,2006,0
Morocco,-10,1,2006,0
South Africa,10.02599942,1,2006,10.02599942
Eastern Africa,-10,1,2006,0
Australia,-10,1,2006,0
Bangladesh,-10,1,2006,0
China,54.843000000000004,1,2006,54.843
Hong Kong SAR,-10,1,2006,0
India,17.63176,1,2006,17.63176
Indonesia,-10,1,2006,0
Japan,304.290569,1,2006,304.290569
Malaysia,-10,1,2006,0
New Zealand,-10,1,2006,0
Pakistan,2.7480000000000002,1,2006,2.748
Philippines,-10,1,2006,0
Singapore,-10,1,2006,0
South Korea,148.748887,1,2006,148.748887
Sri Lanka,-10,1,2006,0
Taiwan,39.870497800000003,1,2006,39.8704978
Thailand,-10,1,2006,0
Vietnam,-10,1,2006,0
Canada,92.842105259999997,1,2007,92.84210526
Mexico,10.420725020000001,1,2007,10.42072502
US,848.86816109999995,1,2007,848.8681611
Argentina,7.2539999999999996,1,2007,7.254
Brazil,12.34976,1,2007,12.34976
Chile,-10,1,2007,0
Colombia,-10,1,2007,0
Ecuador,-10,1,2007,0
Peru,-10,1,2007,0
Trinidad and Tobago,-10,1,2007,0
Venezuela,-10,1,2007,0
Austria,-10,1,2007,0
Belgium,48.226999999999997,1,2007,48.227
Bulgaria,14.643000000000001,1,2007,14.643
Croatia,,1,2007,
Cyprus,-10,1,2007,0
Czech Republic,26.1721,1,2007,26.1721
Denmark,-10,1,2007,0
Estonia,-10,1,2007,0
Finland,23.685473680000001,1,2007,23.68547368
France,439.73000000000002,1,2007,439.73
Germany,140.53399999999999,1,2007,140.534
Greece,-10,1,2007,0
Hungary,14.677,1,2007,14.677
Iceland,-10,1,2007,0
Ireland,-10,1,2007,0
Italy,-10,1,2007,0
Latvia,-10,1,2007,0
Lithuania,9.8329000000000004,1,2007,9.8329
Luxembourg,-10,1,2007,0
Netherlands,4.2003130000000004,1,2007,4.200313
North Macedonia,,1,2007,
Norway,-10,1,2007,0
Poland,-10,1,2007,0
Portugal,-10,1,2007,0
Romania,7.7089999999999996,1,2007,7.709
Slovakia,15.334,1,2007,15.334
Slovenia,5.6950000000000003,1,2007,5.695
Spain,55.103000000000002,1,2007,55.103
Sweden,66.968999999999994,1,2007,66.969
Switzerland,27.730526319999999,1,2007,27.73052632
Turkey,-10,1,2007,0
Ukraine,92.542000000000002,1,2007,92.542
United Kingdom,63.028342700000003,1,2007,63.0283427
Azerbaijan,-10,1,2007,0
Belarus,-10,1,2007,0
Kazakhstan,-10,1,2007,0
Russian Federation,160.0575,1,2007,160.0575
Turkmenistan,-10,1,2007,0
USSR,,1,2007,
Uzbekistan,-10,1,2007,0
Iran,-10,1,2007,0
Iraq,-10,1,2007,0
Israel,-10,1,2007,0
Kuwait,-10,1,2007,0
Oman,-10,1,2007,0
Qatar,-10,1,2007,0
Saudi Arabia,-10,1,2007,0
United Arab Emirates,-10,1,2007,0
Algeria,-10,1,2007,0
Egypt,-10,1,2007,0
Morocco,-10,1,2007,0
South Africa,11.31699987,1,2007,11.31699987
Eastern Africa,-10,1,2007,0
Australia,-10,1,2007,0
Bangladesh,-10,1,2007,0
China,62.130000000000003,1,2007,62.13
Hong Kong SAR,-10,1,2007,0
India,17.831779999999998,1,2007,17.83178
Indonesia,-10,1,2007,0
Japan,279.00864000000001,1,2007,279.00864
Malaysia,-10,1,2007,0
New Zealand,-10,1,2007,0
Pakistan,2.5169999999999999,1,2007,2.517
Philippines,-10,1,2007,0
Singapore,-10,1,2007,0
South Korea,142.937164,1,2007,142.937164
Sri Lanka,-10,1,2007,0
Taiwan,40.539160000000003,1,2007,40.53916
Thailand,-10,1,2007,0
Vietnam,-10,1,2007,0
Canada,95.35264737,1,2008,95.35264737
Mexico,9.8039762800000005,1,2008,9.80397628
US,848.6404579,1,2008,848.6404579
Argentina,7.3940000000000001,1,2008,7.394
Brazil,13.968579999999999,1,2008,13.96858
Chile,-10,1,2008,0
Colombia,-10,1,2008,0
Ecuador,-10,1,2008,0
Peru,-10,1,2008,0
Trinidad and Tobago,-10,1,2008,0
Venezuela,-10,1,2008,0
Austria,-10,1,2008,0
Belgium,45.567999999999998,1,2008,45.568
Bulgaria,15.765000000000001,1,2008,15.765
Croatia,,1,2008,
Cyprus,-10,1,2008,0
Czech Republic,26.550999999999998,1,2008,26.551
Denmark,-10,1,2008,0
Estonia,-10,1,2008,0
Finland,23.210210530000001,1,2008,23.21021053
France,439.447,1,2008,439.447
Germany,148.77699999999999,1,2008,148.777
Greece,-10,1,2008,0
Hungary,14.818,1,2008,14.818
Iceland,-10,1,2008,0
Ireland,-10,1,2008,0
Italy,-10,1,2008,0
Latvia,-10,1,2008,0
Lithuania,9.8937000000000008,1,2008,9.8937
Luxembourg,-10,1,2008,0
Netherlands,4.1688890000000001,1,2008,4.168889
North Macedonia,,1,2008,
Norway,-10,1,2008,0
Poland,-10,1,2008,0
Portugal,-10,1,2008,0
Romania,11.226000000000001,1,2008,11.226
Slovakia,16.704000000000001,1,2008,16.704
Slovenia,6.2729999999999997,1,2008,6.273
Spain,58.972999999999999,1,2008,58.973
Sweden,63.889000000000003,1,2008,63.889
Switzerland,27.507368419999999,1,2008,27.50736842
Turkey,-10,1,2008,0
Ukraine,89.840999999999994,1,2008,89.841
United Kingdom,52.485808339999998,1,2008,52.48580834
Azerbaijan,-10,1,2008,0
Belarus,-10,1,2008,0
Kazakhstan,-10,1,2008,0
Russian Federation,163.0839,1,2008,163.0839
Turkmenistan,-10,1,2008,0
USSR,,1,2008,
Uzbekistan,-10,1,2008,0
Iran,-10,1,2008,0
Iraq,-10,1,2008,0
Israel,-10,1,2008,0
Kuwait,-10,1,2008,0
Oman,-10,1,2008,0
Qatar,-10,1,2008,0
Saudi Arabia,-10,1,2008,0
United Arab Emirates,-10,1,2008,0
Algeria,-10,1,2008,0
Egypt,-10,1,2008,0
Morocco,-10,1,2008,0
South Africa,13.00399966,1,2008,13.00399966
Eastern Africa,-10,1,2008,0
Australia,-10,1,2008,0
Bangladesh,-10,1,2008,0
China,68.394000000000005,1,2008,68.394
Hong Kong SAR,-10,1,2008,0
India,15.230729999999999,1,2008,15.23073
Indonesia,-10,1,2008,0
Japan,251.744159,1,2008,251.744159
Malaysia,-10,1,2008,0
New Zealand,-10,1,2008,0
Pakistan,1.8999999999999999,1,2008,1.9
Philippines,-10,1,2008,0
Singapore,-10,1,2008,0
South Korea,150.95793599999999,1,2008,150.957936
Sri Lanka,-10,1,2008,0
Taiwan,40.826859599999999,1,2008,40.8268596
Thailand,-10,1,2008,0
Vietnam,-10,1,2008,0
Canada,89.465030530000007,1,2009,89.46503053
Mexico,10.5010789,1,2009,10.5010789
US,840.89956840000002,1,2009,840.8995684
Argentina,8.1829999999999998,1,2009,8.183
Brazil,12.957000000000001,1,2009,12.957
Chile,-10,1,2009,0
Colombia,-10,1,2009,0
Ecuador,-10,1,2009,0
Peru,-10,1,2009,0
Trinidad and Tobago,-10,1,2009,0
Venezuela,-10,1,2009,0
Austria,-10,1,2009,0
Belgium,47.222000000000001,1,2009,47.222
Bulgaria,15.256,1,2009,15.256
Croatia,,1,2009,
Cyprus,-10,1,2009,0
Czech Republic,27.207799999999999,1,2009,27.2078
Denmark,-10,1,2009,0
Estonia,-10,1,2009,0
Finland,23.790315790000001,1,2009,23.79031579
France,409.73599999999999,1,2009,409.736
Germany,134.93199999999999,1,2009,134.932
Greece,-10,1,2009,0
Hungary,15.426,1,2009,15.426
Iceland,-10,1,2009,0
Ireland,-10,1,2009,0
Italy,-10,1,2009,0
Latvia,-10,1,2009,0
Lithuania,10.852600000000001,1,2009,10.8526
Luxembourg,-10,1,2009,0
Netherlands,4.2483329999999997,1,2009,4.248333
North Macedonia,,1,2009,
Norway,-10,1,2009,0
Poland,-10,1,2009,0
Portugal,-10,1,2009,0
Romania,11.752000000000001,1,2009,11.752
Slovakia,14.081,1,2009,14.081
Slovenia,5.7389999999999999,1,2009,5.739
Spain,52.761299999999999,1,2009,52.7613
Sweden,52.173000000000002,1,2009,52.173
Switzerland,27.493684210000001,1,2009,27.49368421
Turkey,-10,1,2009,0
Ukraine,82.924000000000007,1,2009,82.924
United Kingdom,69.097692910000006,1,2009,69.09769291
Azerbaijan,-10,1,2009,0
Belarus,-10,1,2009,0
Kazakhstan,-10,1,2009,0
Russian Federation,163.58250000000001,1,2009,163.5825
Turkmenistan,-10,1,2009,0
USSR,,1,2009,
Uzbekistan,-10,1,2009,0
Iran,-10,1,2009,0
Iraq,-10,1,2009,0
Israel,-10,1,2009,0
Kuwait,-10,1,2009,0
Oman,-10,1,2009,0
Qatar,-10,1,2009,0
Saudi Arabia,-10,1,2009,0
United Arab Emirates,-10,1,2009,0
Algeria,-10,1,2009,0
Egypt,-10,1,2009,0
Morocco,-10,1,2009,0
South Africa,12.805999440000001,1,2009,12.80599944
Eastern Africa,-10,1,2009,0
Australia,-10,1,2009,0
Bangladesh,-10,1,2009,0
China,70.134,1,2009,70.134
Hong Kong SAR,-10,1,2009,0
India,16.816179999999999,1,2009,16.81618
Indonesia,-10,1,2009,0
Japan,274.65052300000002,1,2009,274.650523
Malaysia,-10,1,2009,0
New Zealand,-10,1,2009,0
Pakistan,2.722,1,2009,2.722
Philippines,-10,1,2009,0
Singapore,-10,1,2009,0
South Korea,147.77080699999999,1,2009,147.770807
Sri Lanka,-10,1,2009,0
Taiwan,41.571128799999997,1,2009,41.5711288
Thailand,-10,1,2009,0
Vietnam,-10,1,2009,0
Canada,90.027987370000005,1,2010,90.02798737
Mexico,5.8792406389999998,1,2010,5.879240639
US,849.44031680000001,1,2010,849.4403168
Argentina,7.21,1,2010,7.21
Brazil,14.5231558,1,2010,14.5231558
Chile,-10,1,2010,0
Colombia,-10,1,2010,0
Ecuador,-10,1,2010,0
Peru,-10,1,2010,0
Trinidad and Tobago,-10,1,2010,0
Venezuela,-10,1,2010,0
Austria,-10,1,2010,0
Belgium,47.944000000000003,1,2010,47.944
Bulgaria,15.249000000000001,1,2010,15.249
Croatia,,1,2010,
Cyprus,-10,1,2010,0
Czech Republic,27.988199999999999,1,2010,27.9882
Denmark,-10,1,2010,0
Estonia,-10,1,2010,0
Finland,23.041052629999999,1,2010,23.04105263
France,428.52100000000002,1,2010,428.521
Germany,140.55600000000001,1,2010,140.556
Greece,-10,1,2010,0
Hungary,15.760999999999999,1,2010,15.761
Iceland,-10,1,2010,0
Ireland,-10,1,2010,0
Italy,-10,1,2010,0
Latvia,-10,1,2010,0
Lithuania,-10,1,2010,0
Luxembourg,-10,1,2010,0
Netherlands,3.9691670000000001,1,2010,3.969167
North Macedonia,,1,2010,
Norway,-10,1,2010,0
Poland,-10,1,2010,0
Portugal,-10,1,2010,0
Romania,11.622999999999999,1,2010,11.623
Slovakia,14.574,1,2010,14.574
Slovenia,5.657,1,2010,5.657
Spain,61.613399999999999,1,2010,61.6134
Sweden,57.728000000000002,1,2010,57.728
Switzerland,26.53157895,1,2010,26.53157895
Turkey,-10,1,2010,0
Ukraine,89.152000000000001,1,2010,89.152
United Kingdom,62.139673250000001,1,2010,62.13967325
Azerbaijan,-10,1,2010,0
Belarus,-10,1,2010,0
Kazakhstan,-10,1,2010,0
Russian Federation,170.41470000000001,1,2010,170.4147
Turkmenistan,-10,1,2010,0
USSR,,1,2010,
Uzbekistan,-10,1,2010,0
Iran,-10,1,2010,0
Iraq,-10,1,2010,0
Israel,-10,1,2010,0
Kuwait,-10,1,2010,0
Oman,-10,1,2010,0
Qatar,-10,1,2010,0
Saudi Arabia,-10,1,2010,0
United Arab Emirates,-10,1,2010,0
Algeria,-10,1,2010,0
Egypt,-10,1,2010,0
Morocco,-10,1,2010,0
South Africa,13.52699988,1,2010,13.52699988
Eastern Africa,-10,1,2010,0
Australia,-10,1,2010,0
Bangladesh,-10,1,2010,0
China,73.879999999999995,1,2010,73.88
Hong Kong SAR,-10,1,2010,0
India,23.08211,1,2010,23.08211
Indonesia,-10,1,2010,0
Japan,292.35483099999999,1,2010,292.354831
Malaysia,-10,1,2010,0
New Zealand,-10,1,2010,0
Pakistan,2.4060000000000001,1,2010,2.406
Philippines,-10,1,2010,0
Singapore,-10,1,2010,0
South Korea,148.59571199999999,1,2010,148.595712
Sri Lanka,-10,1,2010,0
Taiwan,41.628689100000003,1,2010,41.6286891
Thailand,-10,1,2010,0
Vietnam,-10,1,2010,0
Canada,92.938122109999995,1,2011,92.93812211
Mexico,10.089195030000001,1,2011,10.08919503
US,831.79407049999998,1,2011,831.7940705
Argentina,6.4000000000000004,1,2011,6.4
Brazil,15.659376,1,2011,15.659376
Chile,-10,1,2011,0
Colombia,-10,1,2011,0
Ecuador,-10,1,2011,0
Peru,-10,1,2011,0
Trinidad and Tobago,-10,1,2011,0
Venezuela,-10,1,2011,0
Austria,-10,1,2011,0
Belgium,48.234000000000002,1,2011,48.234
Bulgaria,16.314,1,2011,16.314
Croatia,,1,2011,
Cyprus,-10,1,2011,0
Czech Republic,28.282599999999999,1,2011,28.2826
Denmark,-10,1,2011,0
Estonia,-10,1,2011,0
Finland,23.437368419999999,1,2011,23.43736842
France,442.38799999999998,1,2011,442.388
Germany,107.971227,1,2011,107.971227
Greece,-10,1,2011,0
Hungary,15.685026000000001,1,2011,15.685026
Iceland,-10,1,2011,0
Ireland,-10,1,2011,0
Italy,-10,1,2011,0
Latvia,-10,1,2011,0
Lithuania,-10,1,2011,0
Luxembourg,-10,1,2011,0
Netherlands,4.1407749999999997,1,2011,4.140775
North Macedonia,,1,2011,
Norway,-10,1,2011,0
Poland,-10,1,2011,0
Portugal,-10,1,2011,0
Romania,11.747199999999999,1,2011,11.7472
Slovakia,15.411,1,2011,15.411
Slovenia,6.2149999999999999,1,2011,6.215
Spain,57.731000000000002,1,2011,57.731
Sweden,60.475000000000001,1,2011,60.475
Switzerland,26.905263160000001,1,2011,26.90526316
Turkey,-10,1,2011,0
Ukraine,90.248000000000005,1,2011,90.248
United Kingdom,68.980449120000003,1,2011,68.98044912
Azerbaijan,-10,1,2011,0
Belarus,-10,1,2011,0
Kazakhstan,-10,1,2011,0
Russian Federation,172.94130000000001,1,2011,172.9413
Turkmenistan,-10,1,2011,0
USSR,,1,2011,
Uzbekistan,-10,1,2011,0
Iran,0.111111111,1,2011,0.111111111
Iraq,-10,1,2011,0
Israel,-10,1,2011,0
Kuwait,-10,1,2011,0
Oman,-10,1,2011,0
Qatar,-10,1,2011,0
Saudi Arabia,-10,1,2011,0
United Arab Emirates,-10,1,2011,0
Algeria,-10,1,2011,0
Egypt,-10,1,2011,0
Morocco,-10,1,2011,0
South Africa,12.901999999999999,1,2011,12.902
Eastern Africa,-10,1,2011,0
Australia,-10,1,2011,0
Bangladesh,-10,1,2011,0
China,86.349999999999994,1,2011,86.35
Hong Kong SAR,-10,1,2011,0
India,32.223649999999999,1,2011,32.22365
Indonesia,-10,1,2011,0
Japan,162.92728500000001,1,2011,162.927285
Malaysia,-10,1,2011,0
New Zealand,-10,1,2011,0
Pakistan,3.8820000000000001,1,2011,3.882
Philippines,-10,1,2011,0
Singapore,-10,1,2011,0
South Korea,154.723107,1,2011,154.723107
Sri Lanka,-10,1,2011,0
Taiwan,42.116490800000001,1,2011,42.1164908
Thailand,-10,1,2011,0
Vietnam,-10,1,2011,0
Canada,94.202514739999998,1,2012,94.20251474
Mexico,8.7695988160000002,1,2012,8.769598816
US,809.82236739999996,1,2012,809.8223674
Argentina,6.4020000000000001,1,2012,6.402
Brazil,16.038399999999999,1,2012,16.0384
Chile,-10,1,2012,0
Colombia,-10,1,2012,0
Ecuador,-10,1,2012,0
Peru,-10,1,2012,0
Trinidad and Tobago,-10,1,2012,0
Venezuela,-10,1,2012,0
Austria,-10,1,2012,0
Belgium,40.295000000000002,1,2012,40.295
Bulgaria,15.785,1,2012,15.785
Croatia,,1,2012,
Cyprus,-10,1,2012,0
Czech Republic,30.324200000000001,1,2012,30.3242
Denmark,-10,1,2012,0
Estonia,-10,1,2012,0
Finland,23.224,1,2012,23.224
France,425.40600000000001,1,2012,425.406
Germany,99.459999999999994,1,2012,99.46
Greece,-10,1,2012,0
Hungary,15.793013999999999,1,2012,15.793014
Iceland,-10,1,2012,0
Ireland,-10,1,2012,0
Italy,-10,1,2012,0
Latvia,-10,1,2012,0
Lithuania,-10,1,2012,0
Luxembourg,-10,1,2012,0
Netherlands,3.9147099999999999,1,2012,3.91471
North Macedonia,,1,2012,
Norway,-10,1,2012,0
Poland,-10,1,2012,0
Portugal,-10,1,2012,0
Romania,11.466200000000001,1,2012,11.4662
Slovakia,15.494999999999999,1,2012,15.495
Slovenia,5.5280000000000005,1,2012,5.528
Spain,61.469999999999999,1,2012,61.47
Sweden,64.037000000000006,1,2012,64.037
Switzerland,25.62631579,1,2012,25.62631579
Turkey,-10,1,2012,0
Ukraine,90.137,1,2012,90.137
United Kingdom,70.405069089999998,1,2012,70.40506909
Azerbaijan,-10,1,2012,0
Belarus,-10,1,2012,0
Kazakhstan,-10,1,2012,0
Russian Federation,177.53389999999999,1,2012,177.5339
Turkmenistan,-10,1,2012,0
USSR,,1,2012,
Uzbekistan,-10,1,2012,0
Iran,1.4777777780000001,1,2012,1.477777778
Iraq,-10,1,2012,0
Israel,-10,1,2012,0
Kuwait,-10,1,2012,0
Oman,-10,1,2012,0
Qatar,-10,1,2012,0
Saudi Arabia,-10,1,2012,0
United Arab Emirates,-10,1,2012,0
Algeria,-10,1,2012,0
Egypt,-10,1,2012,0
Morocco,-10,1,2012,0
South Africa,12.96743391,1,2012,12.96743391
Eastern Africa,-10,1,2012,0
Australia,-10,1,2012,0
Bangladesh,-10,1,2012,0
China,97.394000000000005,1,2012,97.394
Hong Kong SAR,-10,1,2012,0
India,33.139710000000001,1,2012,33.13971
Indonesia,-10,1,2012,0
Japan,17.991406000000001,1,2012,17.991406
Malaysia,-10,1,2012,0
New Zealand,-10,1,2012,0
Pakistan,5.2830000000000004,1,2012,5.283
Philippines,-10,1,2012,0
Singapore,-10,1,2012,0
South Korea,150.327293,1,2012,150.327293
Sri Lanka,-10,1,2012,0
Taiwan,40.421729800000001,1,2012,40.4217298
Thailand,-10,1,2012,0
Vietnam,-10,1,2012,0
Canada,102.72045369999999,1,2013,102.7204537
Mexico,11.79986961,1,2013,11.79986961
US,830.54365580000001,1,2013,830.5436558
Argentina,6.2069999999999999,1,2013,6.207
Brazil,15.44969,1,2013,15.44969
Chile,-10,1,2013,0
Colombia,-10,1,2013,0
Ecuador,-10,1,2013,0
Peru,-10,1,2013,0
Trinidad and Tobago,-10,1,2013,0
Venezuela,-10,1,2013,0
Austria,-10,1,2013,0
Belgium,42.643999999999998,1,2013,42.644
Bulgaria,14.171222,1,2013,14.171222
Croatia,,1,2013,
Cyprus,-10,1,2013,0
Czech Republic,30.7453,1,2013,30.7453
Denmark,-10,1,2013,0
Estonia,-10,1,2013,0
Finland,23.86684211,1,2013,23.86684211
France,423.685,1,2013,423.685
Germany,97.290000000000006,1,2013,97.29
Greece,-10,1,2013,0
Hungary,15.369604000000001,1,2013,15.369604
Iceland,-10,1,2013,0
Ireland,-10,1,2013,0
Italy,-10,1,2013,0
Latvia,-10,1,2013,0
Lithuania,-10,1,2013,0
Luxembourg,-10,1,2013,0
Netherlands,2.8908589999999998,1,2013,2.890859
North Macedonia,,1,2013,
Norway,-10,1,2013,0
Poland,-10,1,2013,0
Portugal,-10,1,2013,0
Romania,11.618399999999999,1,2013,11.6184
Slovakia,15.720000000000001,1,2013,15.72
Slovenia,5.2999999999999998,1,2013,5.3
Spain,56.731332999999999,1,2013,56.731333
Sweden,66.456999999999994,1,2013,66.457
Switzerland,26.18,1,2013,26.18
Turkey,-10,1,2013,0
Ukraine,83.209000000000003,1,2013,83.209
United Kingdom,70.606877080000004,1,2013,70.60687708
Azerbaijan,-10,1,2013,0
Belarus,-10,1,2013,0
Kazakhstan,-10,1,2013,0
Russian Federation,172.50810000000001,1,2013,172.5081
Turkmenistan,-10,1,2013,0
USSR,,1,2013,
Uzbekistan,-10,1,2013,0
Iran,4.3222222219999997,1,2013,4.322222222
Iraq,-10,1,2013,0
Israel,-10,1,2013,0
Kuwait,-10,1,2013,0
Oman,-10,1,2013,0
Qatar,-10,1,2013,0
Saudi Arabia,-10,1,2013,0
United Arab Emirates,-10,1,2013,0
Algeria,-10,1,2013,0
Egypt,-10,1,2013,0
Morocco,-10,1,2013,0
South Africa,14.10599837,1,2013,14.10599837
Eastern Africa,-10,1,2013,0
Australia,-10,1,2013,0
Bangladesh,-10,1,2013,0
China,111.613,1,2013,111.613
Hong Kong SAR,-10,1,2013,0
India,33.308239999999998,1,2013,33.30824
Indonesia,-10,1,2013,0
Japan,14.602900999999999,1,2013,14.602901
Malaysia,-10,1,2013,0
New Zealand,-10,1,2013,0
Pakistan,5.2240000000000002,1,2013,5.224
Philippines,-10,1,2013,0
Singapore,-10,1,2013,0
South Korea,138.783973,1,2013,138.783973
Sri Lanka,-10,1,2013,0
Taiwan,41.639360000000003,1,2013,41.63936
Thailand,-10,1,2013,0
Vietnam,-10,1,2013,0
Canada,106.5345337,1,2014,106.5345337
Mexico,9.6772080569999996,1,2014,9.677208057
US,839.12208629999998,1,2014,839.1220863
Argentina,5.5140000000000002,1,2014,5.514
Brazil,15.37846248,1,2014,15.37846248
Chile,-10,1,2014,0
Colombia,-10,1,2014,0
Ecuador,-10,1,2014,0
Peru,-10,1,2014,0
Trinidad and Tobago,-10,1,2014,0
Venezuela,-10,1,2014,0
Austria,-10,1,2014,0
Belgium,33.703000000000003,1,2014,33.703
Bulgaria,15.866650999999999,1,2014,15.866651
Croatia,,1,2014,
Cyprus,-10,1,2014,0
Czech Republic,30.3249,1,2014,30.3249
Denmark,-10,1,2014,0
Estonia,-10,1,2014,0
Finland,23.837894739999999,1,2014,23.83789474
France,436.47899999999998,1,2014,436.479
Germany,97.129000000000005,1,2014,97.129
Greece,-10,1,2014,0
Hungary,15.648624,1,2014,15.648624
Iceland,-10,1,2014,0
Ireland,-10,1,2014,0
Italy,-10,1,2014,0
Latvia,-10,1,2014,0
Lithuania,-10,1,2014,0
Luxembourg,-10,1,2014,0
Netherlands,4.0913060000000003,1,2014,4.091306
North Macedonia,,1,2014,
Norway,-10,1,2014,0
Poland,-10,1,2014,0
Portugal,-10,1,2014,0
Romania,11.675599999999999,1,2014,11.6756
Slovakia,15.499000000000001,1,2014,15.499
Slovenia,6.3700000000000001,1,2014,6.37
Spain,57.305,1,2014,57.305
Sweden,64.876999999999995,1,2014,64.877
Switzerland,27.757894740000001,1,2014,27.75789474
Turkey,-10,1,2014,0
Ukraine,88.388999999999996,1,2014,88.389
United Kingdom,63.747954200000002,1,2014,63.7479542
Azerbaijan,-10,1,2014,0
Belarus,-10,1,2014,0
Kazakhstan,-10,1,2014,0
Russian Federation,180.75739999999999,1,2014,180.7574
Turkmenistan,-10,1,2014,0
USSR,,1,2014,
Uzbekistan,-10,1,2014,0
Iran,4.1399999999999997,1,2014,4.14
Iraq,-10,1,2014,0
Israel,-10,1,2014,0
Kuwait,-10,1,2014,0
Oman,-10,1,2014,0
Qatar,-10,1,2014,0
Saudi Arabia,-10,1,2014,0
United Arab Emirates,-10,1,2014,0
Algeria,-10,1,2014,0
Egypt,-10,1,2014,0
Morocco,-10,1,2014,0
South Africa,13.79399967,1,2014,13.79399967
Eastern Africa,-10,1,2014,0
Australia,-10,1,2014,0
Bangladesh,-10,1,2014,0
China,132.53800000000001,1,2014,132.538
Hong Kong SAR,-10,1,2014,0
India,34.685740000000003,1,2014,34.68574
Indonesia,-10,1,2014,0
Japan,-10,1,2014,0
Malaysia,-10,1,2014,0
New Zealand,-10,1,2014,0
Pakistan,4.649,1,2014,4.649
Philippines,-10,1,2014,0
Singapore,-10,1,2014,0
South Korea,156.40651099999999,1,2014,156.406511
Sri Lanka,-10,1,2014,0
